feature,importance
balance_diff_orig,0.13307832742648387
amount_to_balance_ratio,0.11557531695868845
oldbalanceOrg,0.08168974840546767
type_PAYMENT,0.0757274240838142
amount,0.04622896313274745
type_TRANSFER,0.031495393498662365
newbalanceOrig,0.028916294866806788
balance_diff_dest,0.008352924597195768
newbalanceDest,0.007164609105138386
type_CASH_OUT,0.00700895252706766
step,0.006892958873685569
error_balance_orig,0.006348776784173671
error_balance_dest,0.004837553499780404
oldbalanceDest,0.0031697688870794393
type_CASH_IN,0.0003411183273927395
type_DEBIT,0.00019613841704101291
